path,target
clock_0.jpg,"[1, 0]"
clock_1.jpg,"[1, 1]"
clock_2.jpg,"[1, 2]"
clock_3.jpg,"[1, 3]"
clock_4.jpg,"[1, 4]"
clock_5.jpg,"[1, 5]"
clock_6.jpg,"[1, 6]"
clock_7.jpg,"[1, 7]"
clock_8.jpg,"[1, 8]"
clock_9.jpg,"[1, 9]"
clock_10.jpg,"[1, 10]"
clock_11.jpg,"[1, 11]"
clock_12.jpg,"[1, 12]"
clock_13.jpg,"[1, 13]"
clock_14.jpg,"[1, 14]"
clock_15.jpg,"[1, 15]"
clock_16.jpg,"[1, 16]"
clock_17.jpg,"[1, 17]"
clock_18.jpg,"[1, 18]"
clock_19.jpg,"[1, 19]"
clock_20.jpg,"[1, 20]"
clock_21.jpg,"[1, 21]"
clock_22.jpg,"[1, 22]"
clock_23.jpg,"[1, 23]"
clock_24.jpg,"[1, 24]"
clock_25.jpg,"[1, 25]"
clock_26.jpg,"[1, 26]"
clock_27.jpg,"[1, 27]"
clock_28.jpg,"[1, 28]"
clock_29.jpg,"[1, 29]"
clock_30.jpg,"[1, 30]"
clock_31.jpg,"[1, 31]"
clock_32.jpg,"[1, 32]"
clock_33.jpg,"[1, 33]"
clock_34.jpg,"[1, 34]"
clock_35.jpg,"[1, 35]"
clock_36.jpg,"[1, 36]"
clock_37.jpg,"[1, 37]"
clock_38.jpg,"[1, 38]"
clock_39.jpg,"[1, 39]"
clock_40.jpg,"[1, 40]"
clock_41.jpg,"[1, 41]"
clock_42.jpg,"[1, 42]"
clock_43.jpg,"[1, 43]"
clock_44.jpg,"[1, 44]"
clock_45.jpg,"[1, 45]"
clock_46.jpg,"[1, 46]"
clock_47.jpg,"[1, 47]"
clock_48.jpg,"[1, 48]"
clock_49.jpg,"[1, 49]"
clock_50.jpg,"[1, 50]"
clock_51.jpg,"[1, 51]"
clock_52.jpg,"[1, 52]"
clock_53.jpg,"[1, 53]"
clock_54.jpg,"[1, 54]"
clock_55.jpg,"[1, 55]"
clock_56.jpg,"[1, 56]"
clock_57.jpg,"[1, 57]"
clock_58.jpg,"[1, 58]"
clock_59.jpg,"[1, 59]"
clock_60.jpg,"[2, 0]"
clock_61.jpg,"[2, 1]"
clock_62.jpg,"[2, 2]"
clock_63.jpg,"[2, 3]"
clock_64.jpg,"[2, 4]"
clock_65.jpg,"[2, 5]"
clock_66.jpg,"[2, 6]"
clock_67.jpg,"[2, 7]"
clock_68.jpg,"[2, 8]"
clock_69.jpg,"[2, 9]"
clock_70.jpg,"[2, 10]"
clock_71.jpg,"[2, 11]"
clock_72.jpg,"[2, 12]"
clock_73.jpg,"[2, 13]"
clock_74.jpg,"[2, 14]"
clock_75.jpg,"[2, 15]"
clock_76.jpg,"[2, 16]"
clock_77.jpg,"[2, 17]"
clock_78.jpg,"[2, 18]"
clock_79.jpg,"[2, 19]"
clock_80.jpg,"[2, 20]"
clock_81.jpg,"[2, 21]"
clock_82.jpg,"[2, 22]"
clock_83.jpg,"[2, 23]"
clock_84.jpg,"[2, 24]"
clock_85.jpg,"[2, 25]"
clock_86.jpg,"[2, 26]"
clock_87.jpg,"[2, 27]"
clock_88.jpg,"[2, 28]"
clock_89.jpg,"[2, 29]"
clock_90.jpg,"[2, 30]"
clock_91.jpg,"[2, 31]"
clock_92.jpg,"[2, 32]"
clock_93.jpg,"[2, 33]"
clock_94.jpg,"[2, 34]"
clock_95.jpg,"[2, 35]"
clock_96.jpg,"[2, 36]"
clock_97.jpg,"[2, 37]"
clock_98.jpg,"[2, 38]"
clock_99.jpg,"[2, 39]"
clock_100.jpg,"[2, 40]"
clock_101.jpg,"[2, 41]"
clock_102.jpg,"[2, 42]"
clock_103.jpg,"[2, 43]"
clock_104.jpg,"[2, 44]"
clock_105.jpg,"[2, 45]"
clock_106.jpg,"[2, 46]"
clock_107.jpg,"[2, 47]"
clock_108.jpg,"[2, 48]"
clock_109.jpg,"[2, 49]"
clock_110.jpg,"[2, 50]"
clock_111.jpg,"[2, 51]"
clock_112.jpg,"[2, 52]"
